group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
mergesort_n,9,,,,1042512.0,ns,1
mergesort_n,9,,,,1935215.0,ns,2
mergesort_n,9,,,,2906984.0,ns,3
mergesort_n,9,,,,3840509.0,ns,4
mergesort_n,9,,,,5060087.0,ns,5
mergesort_n,9,,,,5881002.0,ns,6
mergesort_n,9,,,,6929128.0,ns,7
mergesort_n,9,,,,7867421.0,ns,8
mergesort_n,9,,,,8695605.0,ns,9
mergesort_n,9,,,,9630938.0,ns,10
mergesort_n,9,,,,10953062.0,ns,11
mergesort_n,9,,,,11634205.0,ns,12
mergesort_n,9,,,,12928259.0,ns,13
mergesort_n,9,,,,13585902.0,ns,14
mergesort_n,9,,,,14540607.0,ns,15
mergesort_n,9,,,,15392043.0,ns,16
mergesort_n,9,,,,16719025.0,ns,17
mergesort_n,9,,,,17659891.0,ns,18
mergesort_n,9,,,,18469706.0,ns,19
mergesort_n,9,,,,19432565.0,ns,20
mergesort_n,9,,,,20547925.0,ns,21
mergesort_n,9,,,,21459543.0,ns,22
mergesort_n,9,,,,22354031.0,ns,23
mergesort_n,9,,,,23331180.0,ns,24
mergesort_n,9,,,,24279838.0,ns,25
mergesort_n,9,,,,25134653.0,ns,26
mergesort_n,9,,,,26471504.0,ns,27
mergesort_n,9,,,,27326395.0,ns,28
mergesort_n,9,,,,28284078.0,ns,29
mergesort_n,9,,,,29285934.0,ns,30
mergesort_n,9,,,,30168062.0,ns,31
mergesort_n,9,,,,31148210.0,ns,32
mergesort_n,9,,,,31985589.0,ns,33
mergesort_n,9,,,,33538168.0,ns,34
mergesort_n,9,,,,34110861.0,ns,35
mergesort_n,9,,,,35055918.0,ns,36
mergesort_n,9,,,,36372078.0,ns,37
mergesort_n,9,,,,37074612.0,ns,38
mergesort_n,9,,,,38057558.0,ns,39
mergesort_n,9,,,,39414636.0,ns,40
mergesort_n,9,,,,39901772.0,ns,41
mergesort_n,9,,,,41236638.0,ns,42
mergesort_n,9,,,,42227326.0,ns,43
mergesort_n,9,,,,42998837.0,ns,44
mergesort_n,9,,,,44025713.0,ns,45
mergesort_n,9,,,,44704302.0,ns,46
mergesort_n,9,,,,45853137.0,ns,47
mergesort_n,9,,,,47192003.0,ns,48
mergesort_n,9,,,,48128307.0,ns,49
mergesort_n,9,,,,48970658.0,ns,50
mergesort_n,9,,,,49987573.0,ns,51
mergesort_n,9,,,,50671989.0,ns,52
mergesort_n,9,,,,51558508.0,ns,53
mergesort_n,9,,,,54273492.0,ns,54
mergesort_n,9,,,,54705923.0,ns,55
mergesort_n,9,,,,54997563.0,ns,56
mergesort_n,9,,,,55582118.0,ns,57
mergesort_n,9,,,,56325655.0,ns,58
mergesort_n,9,,,,58725901.0,ns,59
mergesort_n,9,,,,58536621.0,ns,60
mergesort_n,9,,,,59880023.0,ns,61
mergesort_n,9,,,,60080522.0,ns,62
mergesort_n,9,,,,61830407.0,ns,63
mergesort_n,9,,,,62279456.0,ns,64
mergesort_n,9,,,,62838791.0,ns,65
mergesort_n,9,,,,64324553.0,ns,66
mergesort_n,9,,,,65373411.0,ns,67
mergesort_n,9,,,,65812459.0,ns,68
mergesort_n,9,,,,66852335.0,ns,69
mergesort_n,9,,,,68184497.0,ns,70
mergesort_n,9,,,,70191315.0,ns,71
mergesort_n,9,,,,72598305.0,ns,72
mergesort_n,9,,,,74466067.0,ns,73
mergesort_n,9,,,,73704608.0,ns,74
mergesort_n,9,,,,73367957.0,ns,75
mergesort_n,9,,,,74139776.0,ns,76
mergesort_n,9,,,,75615281.0,ns,77
mergesort_n,9,,,,75911101.0,ns,78
mergesort_n,9,,,,77977033.0,ns,79
mergesort_n,9,,,,78190971.0,ns,80
mergesort_n,9,,,,78782941.0,ns,81
mergesort_n,9,,,,80187427.0,ns,82
mergesort_n,9,,,,81738073.0,ns,83
mergesort_n,9,,,,82522944.0,ns,84
mergesort_n,9,,,,83000047.0,ns,85
mergesort_n,9,,,,85084746.0,ns,86
mergesort_n,9,,,,86035475.0,ns,87
mergesort_n,9,,,,85586205.0,ns,88
mergesort_n,9,,,,87416536.0,ns,89
mergesort_n,9,,,,88292306.0,ns,90
mergesort_n,9,,,,88756942.0,ns,91
mergesort_n,9,,,,90693173.0,ns,92
mergesort_n,9,,,,91146056.0,ns,93
mergesort_n,9,,,,91839872.0,ns,94
mergesort_n,9,,,,93718794.0,ns,95
mergesort_n,9,,,,93984058.0,ns,96
mergesort_n,9,,,,95478358.0,ns,97
mergesort_n,9,,,,96174340.0,ns,98
mergesort_n,9,,,,96610615.0,ns,99
mergesort_n,9,,,,98010113.0,ns,100
