group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
merge_n,,1,,,475512.0,ns,2
merge_n,,1,,,936855.0,ns,4
merge_n,,1,,,1432094.0,ns,6
merge_n,,1,,,1895278.0,ns,8
merge_n,,1,,,2364132.0,ns,10
merge_n,,1,,,2878675.0,ns,12
merge_n,,1,,,3364277.0,ns,14
merge_n,,1,,,3966327.0,ns,16
merge_n,,1,,,4268062.0,ns,18
merge_n,,1,,,4764030.0,ns,20
merge_n,,1,,,5171819.0,ns,22
merge_n,,1,,,5756150.0,ns,24
merge_n,,1,,,6215289.0,ns,26
merge_n,,1,,,6685350.0,ns,28
merge_n,,1,,,7181071.0,ns,30
merge_n,,1,,,7679798.0,ns,32
merge_n,,1,,,8152560.0,ns,34
merge_n,,1,,,8634629.0,ns,36
merge_n,,1,,,9117809.0,ns,38
merge_n,,1,,,9562275.0,ns,40
merge_n,,1,,,10098291.0,ns,42
merge_n,,1,,,10489095.0,ns,44
merge_n,,1,,,11028271.0,ns,46
merge_n,,1,,,11501009.0,ns,48
merge_n,,1,,,12042573.0,ns,50
merge_n,,1,,,12541837.0,ns,52
merge_n,,1,,,13028939.0,ns,54
merge_n,,1,,,13425117.0,ns,56
merge_n,,1,,,13773425.0,ns,58
merge_n,,1,,,14299926.0,ns,60
merge_n,,1,,,15253832.0,ns,62
merge_n,,1,,,15458861.0,ns,64
merge_n,,1,,,15842954.0,ns,66
merge_n,,1,,,16301841.0,ns,68
merge_n,,1,,,16767028.0,ns,70
merge_n,,1,,,17324161.0,ns,72
merge_n,,1,,,17900631.0,ns,74
merge_n,,1,,,18371305.0,ns,76
merge_n,,1,,,18986691.0,ns,78
merge_n,,1,,,19515385.0,ns,80
merge_n,,1,,,20068574.0,ns,82
merge_n,,1,,,20563386.0,ns,84
merge_n,,1,,,20947668.0,ns,86
merge_n,,1,,,21350436.0,ns,88
merge_n,,1,,,22083001.0,ns,90
merge_n,,1,,,22640296.0,ns,92
merge_n,,1,,,23136145.0,ns,94
merge_n,,1,,,23973553.0,ns,96
merge_n,,1,,,25465345.0,ns,98
merge_n,,1,,,25871463.0,ns,100
merge_n,,1,,,26513125.0,ns,102
merge_n,,1,,,26762089.0,ns,104
merge_n,,1,,,27516206.0,ns,106
merge_n,,1,,,28185450.0,ns,108
merge_n,,1,,,28246226.0,ns,110
merge_n,,1,,,28348448.0,ns,112
merge_n,,1,,,28326008.0,ns,114
merge_n,,1,,,28889161.0,ns,116
merge_n,,1,,,29252467.0,ns,118
merge_n,,1,,,29760168.0,ns,120
merge_n,,1,,,30590185.0,ns,122
merge_n,,1,,,30933094.0,ns,124
merge_n,,1,,,31550476.0,ns,126
merge_n,,1,,,32028353.0,ns,128
merge_n,,1,,,32572420.0,ns,130
merge_n,,1,,,32886158.0,ns,132
merge_n,,1,,,33386053.0,ns,134
merge_n,,1,,,34199435.0,ns,136
merge_n,,1,,,34481193.0,ns,138
merge_n,,1,,,34908479.0,ns,140
merge_n,,1,,,35390811.0,ns,142
merge_n,,1,,,35669639.0,ns,144
merge_n,,1,,,35952008.0,ns,146
merge_n,,1,,,36939177.0,ns,148
merge_n,,1,,,37459476.0,ns,150
merge_n,,1,,,38555884.0,ns,152
merge_n,,1,,,40613823.0,ns,154
merge_n,,1,,,40996693.0,ns,156
merge_n,,1,,,41381320.0,ns,158
merge_n,,1,,,41467450.0,ns,160
merge_n,,1,,,42406240.0,ns,162
merge_n,,1,,,42039231.0,ns,164
merge_n,,1,,,42042783.0,ns,166
merge_n,,1,,,42926966.0,ns,168
merge_n,,1,,,43456013.0,ns,170
merge_n,,1,,,43953079.0,ns,172
merge_n,,1,,,44300866.0,ns,174
merge_n,,1,,,44294225.0,ns,176
merge_n,,1,,,44704938.0,ns,178
merge_n,,1,,,45048920.0,ns,180
merge_n,,1,,,45003993.0,ns,182
merge_n,,1,,,45423575.0,ns,184
merge_n,,1,,,46590296.0,ns,186
merge_n,,1,,,47019545.0,ns,188
merge_n,,1,,,47115786.0,ns,190
merge_n,,1,,,47570895.0,ns,192
merge_n,,1,,,47898874.0,ns,194
merge_n,,1,,,48585089.0,ns,196
merge_n,,1,,,49403557.0,ns,198
merge_n,,1,,,50279853.0,ns,200
